Prescription,Drug_pair,Interaction_type,Sentence,DDI_prob,DDI_prob_std,Confidence_DDI,Side effects (left),Side effects (right),Similar approved drugs (left),Similar approved drugs (right),drug1,drug2,Final severity
0,0_ibuprofen(ibuprofen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.96181667,5.9604645e-08,1,Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),Back pain(21.7%);Pain(10.5%),,,ibuprofen(ibuprofen),bivalirudin(bivalirudin),Major
0,0_bivalirudin(bivalirudin)_ibuprofen(ibuprofen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",0.9988061,5.9604645e-08,1,Back pain(21.7%);Pain(10.5%),Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),,,bivalirudin(bivalirudin),ibuprofen(ibuprofen),Major
1,1_ibuprofen(ibuprofen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",0.9274713,0.0,1,Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),,,,ibuprofen(ibuprofen),l-isoleucine(l-isoleucine),Major
2,2_ibuprofen(ibuprofen)_pyruvic acid(pyruvic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",0.97493327,0.0,1,Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),,,,ibuprofen(ibuprofen),pyruvic acid(pyruvic acid),Major
2,2_pyruvic acid(pyruvic acid)_ibuprofen(ibuprofen),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",0.8186754,5.9604645e-08,1,,Apnoea(28.0%);Bacteraemia(13.3%);Blood lactate dehydrogenase increased(10.0%);Constipation(22.0%);Diarrhoea(10.0%);Eosinophilia(23.3%);Flatulence(11.8%);Gastrointestinal disorder(22.0%);Headache(15.8%);Hypoalbuminaemia(10.0%);Hypocalcaemia(12.0%);Hypoglycaemia(12.0%);Hypoproteinaemia(10.0%);Intraventricular haemorrhage(22.0%);Lactic dehydrogenase activity increased(10.0%);Nausea(43.8%);Pneumonia bacterial(10.0%);Respiratory failure(10.0%);Respiratory tract infection(19.0%);Skin lesion(16.0%);Somnolence(22.0%);Thrombocytosis(10.0%);Vomiting(18.8%),,,pyruvic acid(pyruvic acid),ibuprofen(ibuprofen),Moderate
3,3_aspirin(acetylsalicylic acid)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.9989213,5.9604645e-08,1,,Back pain(21.7%);Pain(10.5%),,,aspirin(acetylsalicylic acid),bivalirudin(bivalirudin),Major
3,3_bivalirudin(bivalirudin)_aspirin(acetylsalicylic acid),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",0.9936282,0.0,1,Back pain(21.7%);Pain(10.5%),,,,bivalirudin(bivalirudin),aspirin(acetylsalicylic acid),Major
4,4_aspirin(acetylsalicylic acid)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",0.9986169,0.0,1,,,,,aspirin(acetylsalicylic acid),l-isoleucine(l-isoleucine),Major
4,4_l-isoleucine(l-isoleucine)_aspirin(acetylsalicylic acid),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.46033654,0.0,1,,,,,l-isoleucine(l-isoleucine),aspirin(acetylsalicylic acid),Not severe
5,5_aspirin(acetylsalicylic acid)_pyruvic acid(pyruvic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",0.9808146,5.9604645e-08,1,,,,,aspirin(acetylsalicylic acid),pyruvic acid(pyruvic acid),Major
5,5_pyruvic acid(pyruvic acid)_aspirin(acetylsalicylic acid),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.55424684,5.9604645e-08,1,,,,,pyruvic acid(pyruvic acid),aspirin(acetylsalicylic acid),Minor
5,5_pyruvic acid(pyruvic acid)_aspirin(acetylsalicylic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",0.40343374,2.9802322e-08,1,,,,,pyruvic acid(pyruvic acid),aspirin(acetylsalicylic acid),Not severe
6,6_paracetamol(acetaminophen)_bivalirudin(bivalirudin),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.96166337,5.9604645e-08,1,,Back pain(21.7%);Pain(10.5%),,,paracetamol(acetaminophen),bivalirudin(bivalirudin),Major
6,6_bivalirudin(bivalirudin)_paracetamol(acetaminophen),80,"#Drug2 may increase the anticoagulant activities of #Drug1.,,,,",0.9986003,0.0,1,Back pain(21.7%);Pain(10.5%),,,,bivalirudin(bivalirudin),paracetamol(acetaminophen),Major
7,7_paracetamol(acetaminophen)_l-isoleucine(l-isoleucine),10,"The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.,,,,",0.8062736,0.0,1,,,,,paracetamol(acetaminophen),l-isoleucine(l-isoleucine),Moderate
7,7_l-isoleucine(l-isoleucine)_paracetamol(acetaminophen),74,"The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,,,,",0.71010214,5.9604645e-08,1,,,,,l-isoleucine(l-isoleucine),paracetamol(acetaminophen),Moderate
8,8_paracetamol(acetaminophen)_pyruvic acid(pyruvic acid),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",0.93226206,1.1920929e-07,1,,,,,paracetamol(acetaminophen),pyruvic acid(pyruvic acid),Major
8,8_pyruvic acid(pyruvic acid)_paracetamol(acetaminophen),113,"The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.,,,,",0.62166613,5.9604645e-08,1,,,,,pyruvic acid(pyruvic acid),paracetamol(acetaminophen),Minor
